month/day	vader compound	vader sentiment
2007-06-21	0.0	neutral
2007-06-22	0.0	neutral
2007-06-23	-0.4767	negative
2007-06-24	0.0	neutral
2007-06-25	-0.4019	negative
2007-06-26	0.0	neutral
2007-06-27	0.3935	positive
2007-06-28	0.0	neutral
2007-06-29	0.8354	positive
2007-06-30	0.0	neutral
2007-07-01	0.0	neutral
2007-07-02	0.4939	positive
2007-07-03	1.6404	positive
2007-07-04	0.0	neutral
2007-07-05	0.0	neutral
2007-07-06	-0.1531	negative
2007-07-07	0.0	neutral
2007-07-08	0.30579999999999996	positive
2007-07-09	0.7506	positive
2007-07-10	0.0	neutral
2007-07-11	0.6835	positive
2007-07-12	0.9022	positive
2007-07-13	0.0	neutral
2007-07-14	0.0	neutral
2007-07-15	0.296	positive
2007-07-16	0.0	neutral
2007-07-17	0.46759999999999996	positive
2007-07-18	0.6386000000000001	positive
2007-07-19	0.4404	positive
2007-07-20	-0.6794	negative
2007-07-21	0.0	neutral
2007-07-22	-0.4215	negative
2007-07-23	0.0	neutral
2007-07-24	1.1661	positive
2007-07-25	-0.12239999999999997	negative
2007-07-26	-0.6112	negative
2007-07-27	0.0	neutral
2007-07-28	0.4404	positive
2007-07-29	0.46460000000000007	positive
2007-07-30	0.028299999999999992	positive
2007-07-31	-2.1586	negative
2007-08-01	0.0	neutral
2007-08-02	0.0	neutral
2007-08-03	0.0	neutral
2007-08-04	2.4091	positive
2007-08-05	0.0	neutral
2007-08-06	0.1531	positive
2007-08-07	-0.7402	negative
2007-08-08	0.0	neutral
2007-08-09	0.0	neutral
2007-08-10	0.0	neutral
2007-08-11	0.7756000000000001	positive
2007-08-12	0.0	neutral
2007-08-13	0.296	positive
2007-08-14	0.1779	positive
2007-08-15	0.0	neutral
2007-08-16	1.0007	positive
2007-08-17	0.0	neutral
2007-08-18	-0.7003	negative
2007-08-19	0.0	neutral
2007-08-20	-0.6808	negative
2007-08-21	0.6249	positive
2007-08-22	0.0	neutral
2007-08-23	0.296	positive
2007-08-24	-0.4767	negative
2007-08-25	0.6249	positive
2007-08-26	-0.34	negative
2007-08-27	-0.4767	negative
2007-08-28	-0.5423	negative
2007-08-29	-0.636	negative
2007-08-30	0.4019	positive
2007-08-31	0.0	neutral
2007-09-01	-0.9274	negative
2007-09-02	-0.2732	negative
2007-09-03	0.0	neutral
2007-09-04	0.0	neutral
2007-09-05	0.0	neutral
2007-09-06	0.0516	positive
2007-09-07	-0.6808	negative
2007-09-08	-0.6597	negative
2007-09-09	0.0	neutral
2007-09-10	0.0	neutral
2007-09-11	0.0	neutral
2007-09-12	0.0	neutral
2007-09-13	-0.44860000000000005	negative
2007-09-14	0.2205999999999999	positive
2007-09-15	0.0	neutral
2007-09-16	0.0	neutral
2007-09-17	-0.08789999999999998	negative
2007-09-18	-0.7003	negative
2007-09-19	-0.1027	negative
2007-09-20	0.0	neutral
2007-09-21	-0.2732	negative
2007-09-22	0.0	neutral
2007-09-23	0.0	neutral
2007-09-24	0.0	neutral
2007-09-25	0.0	neutral
2007-09-26	0.0	neutral
2007-09-27	0.0	neutral
2007-09-28	0.0	neutral
2007-09-29	0.0	neutral
2007-09-30	1.3489	positive
2007-10-01	0.0	neutral
2007-10-02	1.1495	positive
2007-10-03	0.128	positive
2007-10-04	-0.2023	negative
2007-10-05	0.7003	positive
2007-10-06	0.7003	positive
2007-10-07	0.5879	positive
2007-10-08	0.0	neutral
2007-10-09	0.1536	positive
2007-10-10	0.34	positive
2007-10-11	-0.2732	negative
2007-10-12	0.4588	positive
2007-10-13	0.7845	positive
2007-10-14	0.0	neutral
2007-10-15	0.0	neutral
2007-10-16	-0.0516	negative
2007-10-17	0.0	neutral
2007-10-18	-0.4767	negative
2007-10-19	-0.11219999999999997	negative
2007-10-20	-0.3939	negative
2007-10-21	0.0	neutral
2007-10-22	0.0	neutral
2007-10-23	-0.187	negative
2007-10-24	1.9807000000000001	positive
2007-10-25	1.5805	positive
2007-10-26	0.0	neutral
2007-10-27	0.0	neutral
2007-10-28	0.0	neutral
2007-10-29	0.0	neutral
2007-10-30	0.0	neutral
2007-10-31	0.296	positive
2007-11-01	0.0	neutral
